"","BAGO","BLSC","COME","COMU","CORM","HADU","HOGR","LOON","MAMU","OLDS","PIGU","RBME","RNGR","SUSC","WWSC","Year","Site","Transect","Temp","ObservCond","Bay","ObservCondFactor3"
"1",0,0,0,11,0,0,0,1,4,5,0,0,0,0,0,1986,"10","101",4.5,"Good","Uyak","Good"
"2",0,0,0,14,1,0,0,22,6,0,0,0,0,0,3,1987,"10","101",4.8,"Excellent","Uyak","ExcellentIdeal"
"3",0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,1988,"10","101",4.5,"Excellent","Uyak","ExcellentIdeal"
"4",0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,1989,"10","101",2.7,"Excellent","Uyak","ExcellentIdeal"
"5",0,0,0,5,0,2,3,1,5,1,0,0,0,0,0,1990,"10","101",2.2,"Excellent","Uyak","ExcellentIdeal"
"6",0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1991,"10","101",2.5,"Average","Uyak","FairAverage"
"7",0,0,0,15,0,0,0,0,4,0,0,0,0,0,10,1992,"10","101",3,"Excellent","Uyak","ExcellentIdeal"
"8",0,0,0,20,2,0,0,1,2,11,0,0,0,0,0,1993,"10","101",3,"Excellent","Uyak","ExcellentIdeal"
"9",0,0,0,9,1,0,0,0,1,11,0,0,0,0,2,1994,"10","101",3,"Excellent","Uyak","ExcellentIdeal"
"10",0,0,0,63,1,2,0,0,0,0,1,0,0,0,0,1995,"10","101",3,"Excellent","Uyak","ExcellentIdeal"
"11",0,0,0,27,4,2,0,0,0,0,0,0,0,0,10,1996,"10","101",3,"Excellent","Uyak","ExcellentIdeal"
"12",0,0,0,13,0,0,0,1,4,0,0,0,0,0,0,1997,"10","101",3,"Good","Uyak","Good"
"13",0,0,0,3,3,0,0,0,0,6,0,0,0,0,21,1999,"10","101",3,"Fair","Uyak","FairAverage"
"14",0,0,0,30,4,0,0,2,9,58,0,0,0,0,7,2000,"10","101",2.3,"Good","Uyak","Good"
"15",0,0,0,12,4,0,0,0,0,0,0,0,0,0,0,2001,"10","101",3.8,"Average","Uyak","FairAverage"
